"source","File","ROI","Frame","Intensity","Lifetime","Time"
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",1,513.39,3.55908355712891,0
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",1,783.04,3.51202850341797,0
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",1,639.49,3.58733978271484,0
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",1,688.3,3.56148071289063,0
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",1,173.12,3.74789581298828,0
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",2,511.74,3.54364776611328,15
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",2,777.73,3.51384582519531,15
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",2,638.42,3.57829284667969,15
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",2,687.48,3.57605285644531,15
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",2,173.55,3.76139526367187,15
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",3,513.98,3.54054718017578,30
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",3,781.39,3.49008636474609,30
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",3,639.65,3.58287353515625,30
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",3,689.52,3.5598388671875,30
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",3,174.15,3.78444213867188,30
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",4,510.31,3.54544219970703,45
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",4,777.4,3.506640625,45
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",4,636.46,3.58682708740234,45
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",4,684.93,3.55962219238281,45
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",4,173.16,3.72746276855469,45
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",5,511.39,3.51929168701172,60
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",5,777.95,3.51125030517578,60
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",5,638.18,3.57195587158203,60
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",5,688.39,3.5530517578125,60
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",5,171.49,3.69448852539062,60
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",6,506.74,3.50805816650391,75
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",6,774.38,3.49805603027344,75
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",6,635,3.5704833984375,75
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",6,684.95,3.55559844970703,75
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",6,170.72,3.66880798339844,75
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",7,505.86,3.46749420166016,90
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",7,775,3.47201995849609,90
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",7,638.62,3.51943664550781,90
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",7,685.83,3.52300262451172,90
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",7,166.81,3.56321105957031,90
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",8,485.03,3.37696838378906,105
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",8,750.79,3.39584655761719,105
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",8,626.3,3.49400787353516,105
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",8,668.71,3.47014465332031,105
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",8,156.66,3.42115478515625,105
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",9,470.5,3.30724182128906,120
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",9,727.86,3.32415008544922,120
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",9,622.43,3.44482269287109,120
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",9,665.02,3.4340087890625,120
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",9,151.96,3.31266632080078,120
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",10,454.95,3.25948944091797,135
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",10,708.03,3.26053466796875,135
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",10,614.27,3.44864654541016,135
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",10,656.78,3.40487060546875,135
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",10,147.41,3.28130340576172,135
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",11,443.42,3.20677947998047,150
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",11,691.84,3.221923828125,150
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",11,604.71,3.40604553222656,150
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",11,647.44,3.38603668212891,150
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",11,145.08,3.21187591552734,150
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",12,436.28,3.16045837402344,165
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",12,681.29,3.18101196289063,165
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",12,594.2,3.3776123046875,165
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",12,636.43,3.35020904541016,165
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",12,142.07,3.14865264892578,165
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",13,429.19,3.12449798583984,180
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",13,669.28,3.14389190673828,180
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",13,583.15,3.36211090087891,180
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",13,625.29,3.31084289550781,180
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",13,139.93,3.14750366210937,180
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",14,424.2,3.10765838623047,195
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",14,661.99,3.14694061279297,195
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",14,575.88,3.32117004394531,195
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",14,618.62,3.28204193115234,195
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",14,139.07,3.12219848632812,195
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",15,417.39,3.08796234130859,210
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",15,652.31,3.11135101318359,210
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",15,563.37,3.29049530029297,210
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",15,607.29,3.25534362792969,210
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",15,137.97,3.09937744140625,210
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",16,417.63,3.06746673583984,225
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",16,649.72,3.09687805175781,225
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",16,558.59,3.27639923095703,225
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",16,601.66,3.24054565429688,225
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",16,137.77,3.07894592285156,225
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",17,411.62,3.07399139404297,240
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",17,641.37,3.07894439697266,240
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",17,548.77,3.2551025390625,240
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",17,593.66,3.202294921875,240
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",17,135.4,3.09068603515625,240
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",18,410.32,3.05261993408203,255
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",18,640.32,3.08655395507813,255
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",18,548.51,3.23587493896484,255
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",18,589.51,3.20738525390625,255
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",18,134.09,3.09902191162109,255
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",19,406.05,3.04415283203125,270
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",19,634.91,3.06221160888672,270
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",19,542.71,3.24531707763672,270
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",19,583.04,3.18441009521484,270
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",19,132.97,3.05564270019531,270
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",20,406.76,3.03969116210937,285
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",20,633.64,3.07467651367188,285
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",20,540.76,3.21340637207031,285
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",20,582,3.18522338867187,285
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",20,133.6,3.05941162109375,285
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",21,405.29,3.04960784912109,300
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",21,631.49,3.05724945068359,300
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",21,536.28,3.2029052734375,300
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",21,578.69,3.16338348388672,300
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",21,132.74,3.06001434326172,300
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",22,403.33,3.02192993164063,315
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",22,629.22,3.05494384765625,315
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",22,534.09,3.19642028808594,315
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",22,578.04,3.15047302246094,315
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",22,133.99,3.06637420654297,315
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",23,405.51,3.02925109863281,330
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",23,629.88,3.05689086914062,330
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",23,531.03,3.18643493652344,330
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",23,577.27,3.14401702880859,330
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",23,132.24,3.07060852050781,330
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",24,403.3,3.02230224609375,345
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",24,625.25,3.03831787109375,345
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",24,526.9,3.17765808105469,345
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",24,572.93,3.13907318115234,345
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",24,132.22,3.05664520263672,345
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0196-0110",25,404.01,3.00886840820312,360
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0180-0183",25,626.42,3.0443115234375,360
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0208-0262",25,529.05,3.16169738769531,360
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0235-0362",25,573.06,3.11939849853516,360
"output_ImageJ/Results-02.csv","Thingl-series-02.tif","0001-0326-0449",25,132.31,3.02323760986328,360
